switch,"A device that connects multiple devices in a LAN and forwards data based on MAC addresses.","อุปกรณ์ที่เชื่อมต่ออุปกรณ์หลายเครื่องใน LAN และส่งต่อข้อมูลตามที่อยู่ MAC"
host,"A computer or other device connected to a network that provides or uses network services.","อุปกรณ์หรือคอมพิวเตอร์อื่นที่เชื่อมต่อกับเครือข่ายและให้บริการหรือใช้บริการเครือข่าย"
end device,"A device such as a computer or printer that is the source or destination of network messages.","อุปกรณ์เช่นคอมพิวเตอร์หรือเครื่องพิมพ์ที่เป็นต้นทางหรือปลายทางของข้อความเครือข่าย"
network,"A collection of devices connected to share resources and exchange data.","เครือข่ายหรือกลุ่มของอุปกรณ์ที่เชื่อมต่อกันเพื่อแบ่งปันทรัพยากรและแลกเปลี่ยนข้อมูล"
server,"A computer that provides services or resources to other devices (clients) over a network.","คอมพิวเตอร์ที่ให้บริการหรือทรัพยากรแก่อุปกรณ์อื่น (ไคลเอนต์) ผ่านเครือข่าย"
client,"A device or program that accesses services provided by a server.","อุปกรณ์หรือโปรแกรมที่เข้าถึงบริการที่จัดหาให้โดยเซิร์ฟเวอร์"
web browser,"A software application used to access and view websites and web content.","แอปพลิเคชันซอฟต์แวร์ที่ใช้ในการเข้าถึงและดูเว็บไซต์และเนื้อหาเว็บ"
simultaneous,"Occurring at the same time, such as multiple users accessing a network resource.","เกิดขึ้นในเวลาเดียวกัน เช่น ผู้ใช้หลายคนเข้าถึงทรัพยากรเครือข่ายพร้อมกัน"
soho,"Small Office Home Office network designed for a small number of users or devices.","เครือข่ายสำนักงานขนาดเล็กหรือสำนักงานในบ้านที่ออกแบบมาสำหรับผู้ใช้หรืออุปกรณ์จำนวนน้อย"
email server,"A server responsible for sending, receiving, and storing email messages.","เซิร์ฟเวอร์ที่มีหน้าที่ในการส่ง รับ และจัดเก็บข้อความอีเมล"
web server,"A server that hosts websites and delivers web pages to users via HTTP/HTTPS.","เซิร์ฟเวอร์ที่ให้บริการโฮสต์เว็บไซต์และส่งมอบหน้าเว็บให้กับผู้ใช้ผ่าน HTTP/HTTPS"
file server,"A server that stores and manages access to files for users on a network.","เซิร์ฟเวอร์ที่จัดเก็บและจัดการการเข้าถึงไฟล์สำหรับผู้ใช้บนเครือข่าย"
peer-to-peer,"A network model where devices share resources directly without a central server.","รูปแบบเครือข่ายที่อุปกรณ์ต่าง ๆ แบ่งปันทรัพยากรโดยตรงโดยไม่ต้องมีเซิร์ฟเวอร์ส่วนกลาง"
scalability,"The ability of a network to grow and handle increasing demand without performance loss.","ความสามารถของเครือข่ายในการขยายขนาดและรองรับความต้องการที่เพิ่มขึ้นโดยไม่สูญเสียประสิทธิภาพ"
performance,"The efficiency and speed at which a network operates and delivers data.","ประสิทธิภาพและความเร็วที่เครือข่ายทำงานและส่งมอบข้อมูล"
lan,"Local Area Network, typically confined to a single building or campus.","เครือข่ายเฉพาะที่ มักจำกัดอยู่ภายในอาคารเดียวหรือวิทยาเขตเดียว"
man,"Metropolitan Area Network, covering a city or large campus area.","เครือข่ายนครหลวง ครอบคลุมพื้นที่เมืองหรือพื้นที่วิทยาเขตขนาดใหญ่"
wan,"Wide Area Network, spanning large geographic areas like countries or continents.","เครือข่ายบริเวณกว้าง ครอบคลุมพื้นที่ทางภูมิศาสตร์ขนาดใหญ่ เช่น ประเทศหรือทวีป"
physical,"The tangible components of a network, like cables, switches, and routers.","องค์ประกอบที่จับต้องได้ของเครือข่าย เช่น สายเคเบิล สวิตช์ และเราเตอร์"
media,"The physical materials used to transmit data, such as copper, fiber, or wireless.","วัสดุทางกายภาพที่ใช้ในการส่งผ่านข้อมูล เช่น ทองแดง ไฟเบอร์ หรือไร้สาย"
service,"A network-provided function like file sharing, email, or web hosting.","ฟังก์ชันที่ให้บริการโดยเครือข่าย เช่น การแชร์ไฟล์ อีเมล หรือเว็บโฮสติ้ง"
cable,"Physical wire used to connect devices and transmit data in a network.","สายไฟทางกายภาพที่ใช้ในการเชื่อมต่ออุปกรณ์และส่งผ่านข้อมูลในเครือข่าย"
router,"A device that forwards data between different networks and determines best path.","อุปกรณ์ที่ส่งต่อข้อมูลระหว่างเครือข่ายที่ต่างกันและกำหนดเส้นทางที่ดีที่สุด"
underly,"To be the foundation or base, such as protocols that underly network communication.","เป็นรากฐานหรือฐาน เช่น โปรโตคอลที่เป็นรากฐานของการสื่อสารในเครือข่าย"
initiate,"To start a network connection or data transfer.","เริ่มต้นการเชื่อมต่อเครือข่ายหรือการถ่ายโอนข้อมูล"
source,"The origin point where data is generated in a network.","จุดต้นทางที่ข้อมูลถูกสร้างขึ้นในเครือข่าย"
destination,"The endpoint where data is delivered in a network.","จุดปลายทางที่ข้อมูลถูกส่งมอบในเครือข่าย"
medium,"The channel through which data travels, such as cable or wireless signal.","ช่องทางที่ข้อมูลเดินทางผ่าน เช่น สายเคเบิลหรือสัญญาณไร้สาย"
protocol,"A set of rules that governs data communication between network devices.","ชุดกฎเกณฑ์ที่ควบคุมการสื่อสารข้อมูลระหว่างอุปกรณ์เครือข่าย"
intermediary,"A device like a router or switch that forwards data between end devices.","อุปกรณ์เช่นเราเตอร์หรือสวิตช์ที่ส่งต่อข้อมูลระหว่างอุปกรณ์ปลายทาง"
generate,"To produce or create data to be transmitted over the network.","ผลิตหรือสร้างข้อมูลเพื่อส่งผ่านเครือข่าย"
resend,"To transmit data again, often after a transmission failure.","ส่งข้อมูลอีกครั้ง มักจะเกิดขึ้นหลังจากเกิดความล้มเหลวในการส่งข้อมูล"
retransmission,"The process of sending data again due to errors or packet loss.","กระบวนการส่งข้อมูลอีกครั้งเนื่องจากข้อผิดพลาดหรือการสูญหายของแพ็กเก็ต"
flow,"The continuous movement of data packets across a network.","การเคลื่อนที่อย่างต่อเนื่องของแพ็กเก็ตข้อมูลในเครือข่าย"
component,"A part or element of a network system, such as NIC or router.","ส่วนหนึ่งหรือองค์ประกอบของระบบเครือข่าย เช่น NIC หรือเราเตอร์"
connectivity,"The ability of devices to communicate and access network services.","ความสามารถของอุปกรณ์ในการสื่อสารและเข้าถึงบริการเครือข่าย"
notify,"To send a message or alert about a network event or change.","ส่งข้อความหรือแจ้งเตือนเกี่ยวกับเหตุการณ์หรือการเปลี่ยนแปลงในเครือข่าย"
failure,"A malfunction or disruption in network components or communication.","การทำงานผิดพลาดหรือการหยุดชะงักในองค์ประกอบเครือข่ายหรือการสื่อสาร"
carrier,"The signal or medium that carries data through a network.","สัญญาณหรือสื่อที่นำพาข้อมูลผ่านเครือข่าย"
topology,"The physical or logical arrangement of network devices and paths.","การจัดวางทางกายภาพหรือทางตรรกะของอุปกรณ์และเส้นทางในเครือข่าย"
nic,"Network Interface Card; allows a device to connect to a network.","การ์ดอินเตอร์เฟสเครือข่าย ช่วยให้อุปกรณ์สามารถเชื่อมต่อกับเครือข่ายได้"
internet,"The global network that connects millions of private, public, academic, and business networks.","เครือข่ายระดับโลกที่เชื่อมต่อเครือข่ายส่วนตัว สาธารณะ วิชาการ และธุรกิจนับล้านเข้าด้วยกัน"
extranet,"A controlled private network allowing access to partners or suppliers.","เครือข่ายส่วนตัวที่ได้รับการควบคุม ซึ่งอนุญาตให้พันธมิตรหรือซัพพลายเออร์เข้าถึงได้"
intranet,"A private network used within an organization.","เครือข่ายส่วนตัวที่ใช้ภายในองค์กร"
accessible,"Capable of being reached or used over a network.","สามารถเข้าถึงหรือใช้งานได้ผ่านเครือข่าย"
authorization,"The process of verifying permissions to access a network resource.","กระบวนการตรวจสอบสิทธิ์ในการเข้าถึงทรัพยากรเครือข่าย"
lease,"A time-limited assignment of an IP address from a DHCP server.","การกำหนดที่อยู่ IP แบบจำกัดเวลาจากเซิร์ฟเวอร์ DHCP"
modem,"A device that modulates and demodulates signals for internet access over telephone or cable lines.","อุปกรณ์ที่ปรับและแปลงสัญญาณสำหรับการเข้าถึงอินเทอร์เน็ตผ่านสายโทรศัพท์หรือสายเคเบิล"
converged network,"A network infrastructure that integrates voice, video, and data into a single platform.","เครือข่ายที่รวมเสียง วิดีโอ และข้อมูลไว้ในโครงสร้างเดียว"
network architecture,"The structural framework and design of a network system.","โครงสร้างและรูปแบบของระบบเครือข่าย"
fault tolerance,"The capacity of a system to continue operating despite errors or component failures.","ความสามารถในการทำงานแม้เกิดข้อผิดพลาดในระบบ"
security,"The protection of networks, data, and systems from unauthorized access.","การปกป้องข้อมูลและระบบจากการเข้าถึงที่ไม่ได้รับอนุญาต"
qos,"Quality of Service; the prioritization of specific types of network traffic.","การจัดลำดับความสำคัญของทราฟฟิกในเครือข่าย"
qoe,"Quality of Experience; the subjective measure of a user's satisfaction with a network service.","การวัดประสบการณ์ผู้ใช้ปลายทาง"
collaboration,"The practice of working together seamlessly via network tools and platforms.","การทำงานร่วมกันผ่านเครือข่าย"
cloud computing,"The delivery of computing services and IT resources over the internet.","การใช้ทรัพยากร IT ผ่านอินเทอร์เน็ต"
separate networks,"Multiple distinct networks dedicated to separate and isolated functions.","ระบบที่แยกการใช้งานเฉพาะด้าน"
different,"Distinct or not the same in character or quality.","แตกต่าง"
dedicated network,"A communication network reserved exclusively for a specific use or organization.","เครือข่ายเฉพาะสำหรับงานใดงานหนึ่ง"
network infrastructure,"The underlying base of network components like cables, switches, and routers.","องค์ประกอบพื้นฐาน เช่น สายเคเบิล สวิตช์ เราเตอร์ ที่ทำให้เครือข่ายสามารถทำงานและเชื่อมต่อได้"
agreement,"A contract or mutual arrangement that establishes rules for network communications.","ข้อตกลงที่กำหนดการสื่อสารในระบบ"
characteristic,"A distinguishing feature or quality typical of a network system.","คุณสมบัติเฉพาะของระบบหรือเครือข่าย"
address,"The method of managing, directing, or resolving issues within a network layout.","การจัดการหรือแก้ไขปัญหาในเครือข่าย"
meet,"The act of fulfilling or satisfying specific network goals and expectations.","การบรรลุหรือสอดคล้องกับเป้าหมาย"
expectation,"The standards or results that users anticipate from a network's performance.","สิ่งที่ผู้ใช้หวังจากระบบเครือข่าย"
limit,"The maximum capacity or boundary that a network system can handle.","ขอบเขตที่ระบบสามารถรองรับได้"
impact,"The effect or influence brought by various factors on a network environment.","ผลกระทบที่เกิดจากปัจจัยต่าง ๆ"
affect,"To produce an effect on or influence the state of a network component.","มีผลต่อหรือส่งผลกระทบ"
redundancy,"The inclusion of extra components to ensure continuous operation in case of failure.","การซ้ำซ้อนเพื่อป้องกันระบบล่ม"
establish,"The act of setting up, configuring, or initiating a fully functional system.","การตั้งค่าหรือสร้างระบบขึ้นมา"
goal,"The target objective or purpose of a network implementation.","วัตถุประสงค์ของระบบเครือข่าย"
confidentiality,"The principle of ensuring that data is accessible only to authorized individuals.","ความลับของข้อมูล"
integrity,"The principle of maintaining and assuring the accuracy and completeness of data.","ความถูกต้องสมบูรณ์ของข้อมูล"
availability,"The assurance that systems and data are accessible when required by authorized users.","การเข้าถึงข้อมูลเมื่อจำเป็น"
threat,"A potential risk or malicious activity that could breach network security.","ภัยคุกคามที่อาจเกิดขึ้น"
antivirus,"Software designed to detect, prevent, and remove malware or viruses.","ซอฟต์แวร์ป้องกันมัลแวร์"
unauthorized,"Lacking official permission or authorization to access resources.","ผู้ที่ไม่ได้รับสิทธิ์"
firewall,"A security system designed to block unauthorized access to or from a private network.","ระบบป้องกันการเข้าถึงที่ไม่พึงประสงค์"
circuit-switched network,"A type of network where a dedicated physical path is established before transmission.","เครือข่ายที่ต้องมีเส้นทางตายตัวก่อนส่งข้อมูล"
packet-switched network,"A type of network where data is broken into blocks called packets and routed independently.","เครือข่ายที่ข้อมูลถูกแบ่งเป็นแพ็กเก็ตส่งแยกกัน"
channel,"The pathway or route through which data signals are transmitted.","ช่องทางในการส่งข้อมูล"
govern,"To control, direct, or regulate the operations and rules of a system.","การควบคุมหรือกำกับการทำงานของระบบ"
method,"A systematic process or technique used to transmit or receive data.","วิธีการส่งหรือรับข้อมูล"
encapsulation,"The process of wrapping data in a particular protocol header before transmission.","การห่อหุ้มข้อมูลในโปรโตคอล"
confirmation,"The act of verifying that data has been successfully transmitted or received.","การยืนยันการรับข้อมูล"
acknowledgement,"A signal or response sent to confirm that data has been received successfully.","การตอบรับว่าได้รับข้อมูลแล้ว"
encoding,"The process of converting data into a specific format for transmission.","การแปลงข้อมูลเป็นรูปแบบเฉพาะ"
convert,"To change data from one format or structure into another.","เปลี่ยนจากรูปแบบหนึ่งเป็นอีกแบบ"
format,"The defined structure or arrangement of data characters and fields.","รูปแบบของข้อมูล"
frame,"The data link layer packaging that encapsulates packets for transmission.","หน่วยข้อมูลในเลเยอร์ดาต้าลิงก์"
reconstruct,"The process of rebuilding or reassembling received packets into original data.","การประกอบข้อมูลกลับมาใหม่"
access,"The ability or permission to interact with and use a network resource.","การเข้าถึงข้อมูลหรือระบบ"
response,"The reply or feedback generated by a receiving system or server.","การตอบกลับจากระบบ"
collision,"An event where two or more data packets collide on a shared transmission medium.","การชนกันของแพ็กเก็ตข้อมูล"
negotiate,"The process of agreeing upon communication parameters between two devices.","การต่อรองค่าพารามิเตอร์การเชื่อมต่อ"
avoid,"To prevent network issues or collisions from occurring.","หลีกเลี่ยงปัญหา เช่น การชนกัน"
timeout,"The expiration of a set time period while waiting for a network response.","เวลาหมดอายุของคำขอหรือการส่ง"
unicast,"A method of data transmission intended for a single specific destination.","การส่งจากหนึ่งถึงหนึ่ง"
multicast,"A method of data transmission intended for a specific group of destinations.","การส่งจากหนึ่งถึงหลาย (เฉพาะกลุ่ม)"
broadcast,"A method of data transmission intended for all devices within a network.","การส่งถึงทุกคนในเครือข่าย"
implement,"To put a specific network protocol or system design into practical effect.","การนำระบบหรือโปรโตคอลมาใช้จริง"
exchange,"The mutual act of sending and receiving data between network entities.","การแลกเปลี่ยนข้อมูล"
http,"Hypertext Transfer Protocol; the rule protocol used for web pages.","โปรโตคอลสำหรับเว็บเพจ"
tcp,"Transmission Control Protocol; a reliable, connection-oriented protocol.","โปรโตคอลควบคุมการเชื่อมต่อที่เชื่อถือได้"
ip,"Internet Protocol; the protocol responsible for addressing network devices.","โปรโตคอลกำหนดที่อยู่ของอุปกรณ์"
interaction,"The communication and interplay between users or systems over a network.","การมีปฏิสัมพันธ์ผ่านเครือข่าย"
ethernet,"The most widely used wired local area network (LAN) technology.","เทคโนโลยีแลนพื้นฐาน"